tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,6,0,0
6,9,0,0
7,10,0,0
8,11,0,0
9,11,0,0
10,11,0,0
11,11,0,0
12,11,0,0
13,11,0,0
14,12,0,0
15,7,6,2
16,6,7,2
17,6,7,2
18,7,7,3
19,12,2,5
20,12,3,5
21,12,3,5
22,12,3,5
23,12,3,5
24,12,3,5
25,12,3,5
26,12,3,5
27,12,3,5
28,12,3,5
29,13,3,5
30,13,3,5
31,12,4,6
32,11,6,6
33,11,7,7
34,11,7,7
35,11,7,7
36,11,7,7
37,10,8,7
38,10,8,7
39,11,6,9
40,13,4,12
41,13,4,12
42,13,5,12
43,10,7,14
44,9,6,17
45,8,5,19
46,7,4,21
47,7,4,21
48,7,4,21
49,7,4,21
50,7,4,21
51,7,4,21
52,7,4,21
53,7,4,21
54,7,4,21
55,6,3,23
56,6,3,23
