tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,2,0
4,0,4,0
5,0,6,0
6,0,6,0
7,0,8,0
8,0,9,0
9,0,12,0
10,0,12,0
11,0,8,4
12,1,5,8
13,2,4,9
14,1,2,13
15,1,2,13
16,2,1,13
17,1,0,15
18,2,0,15
19,2,0,15
20,4,0,15
21,4,0,15
22,4,0,15
23,4,0,15
24,4,0,15
25,2,2,15
26,1,3,15
27,1,3,15
28,1,4,15
29,1,4,15
30,1,4,16
31,1,4,17
32,0,3,19
33,2,2,19
34,1,1,21
35,1,1,22
36,1,1,23
37,1,1,24
38,1,1,24
39,1,1,24
40,1,1,24
41,1,1,24
42,1,1,24
43,1,1,24
44,1,1,25
45,1,1,25
46,1,1,26
47,1,1,27
48,1,1,27
49,1,1,27
50,1,1,27
51,1,1,27
52,1,1,27
53,1,1,27
54,1,1,28
55,1,1,29
56,1,1,29
57,1,1,29
58,1,1,29
59,1,1,30
60,1,1,31
61,1,1,31
62,1,1,31
63,1,1,31
64,2,1,33
65,2,1,33
