tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,2,1,0
4,5,1,0
5,7,2,0
6,8,2,0
7,5,0,6
8,5,0,6
9,5,0,6
10,5,0,6
11,5,0,6
12,7,1,6
13,7,1,7
14,7,1,7
15,7,1,7
16,6,2,8
17,6,2,9
18,5,3,12
19,2,7,13
20,2,8,13
21,2,8,13
22,2,8,13
23,3,7,13
24,2,6,15
25,2,6,15
26,2,6,15
27,2,6,15
28,2,6,15
29,2,6,15
30,2,6,15
31,2,6,15
32,3,5,15
33,3,5,15
34,4,5,17
35,4,5,17
36,4,5,17
37,4,5,17
38,4,5,17
39,4,5,19
40,4,5,19
41,4,5,19
42,4,5,19
43,4,5,19
44,4,7,20
45,4,8,20
46,3,7,22
47,3,7,22
48,3,7,22
49,3,7,22
50,3,7,23
51,3,7,25
52,3,8,28
53,3,8,28
54,3,8,28
55,3,8,28
56,3,8,28
57,3,8,28
58,3,8,28
59,3,8,28
60,3,8,28
61,3,8,28
62,3,8,29
63,3,8,29
64,3,8,29
65,3,8,29
66,3,8,29
67,3,8,29
