tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,3,0
5,0,3,0
6,0,4,0
7,4,5,0
8,6,4,2
9,6,4,2
10,5,3,4
11,6,3,4
12,5,2,6
13,5,2,6
14,6,2,6
15,5,4,6
16,4,4,8
17,4,4,8
18,4,5,9
19,3,7,10
20,2,8,12
21,3,9,12
22,3,10,12
23,1,11,16
24,0,10,20
25,0,10,21
26,0,10,22
27,0,10,22
28,0,10,22
29,0,10,22
30,0,10,22
31,0,10,22
32,0,10,22
33,1,9,23
34,1,10,24
35,1,11,24
36,1,11,25
37,2,11,26
38,3,8,28
39,2,7,30
40,2,7,30
41,2,7,30
42,2,7,31
43,2,7,31
44,2,7,32
45,2,7,34
46,2,7,34
47,3,6,35
48,3,6,37
49,3,6,37
50,3,6,37
51,3,7,37
52,3,7,39
53,3,7,39
54,3,8,39
55,3,8,39
