tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,1,0,0
3,4,0,0
4,6,0,0
5,6,0,0
6,6,1,0
7,6,2,0
8,6,2,0
9,6,2,0
10,8,2,0
11,8,2,2
12,8,2,2
13,9,2,2
14,9,2,3
15,9,2,3
16,9,2,3
17,9,2,3
18,9,2,3
19,9,2,3
20,11,1,3
21,11,1,3
22,11,1,3
23,11,1,3
24,11,1,3
25,10,0,6
26,10,0,6
27,10,0,6
28,11,0,6
29,10,1,6
30,8,1,8
31,8,1,9
32,8,1,10
33,8,1,11
34,8,2,11
35,7,1,13
36,7,1,13
37,7,1,13
38,7,1,13
39,7,1,13
40,7,1,13
41,6,2,13
42,6,2,13
43,7,0,15
44,5,1,19
45,4,0,22
46,4,0,22
47,4,0,22
48,4,0,22
49,4,0,22
50,4,0,22
51,4,0,22
52,4,0,22
53,4,0,23
54,4,0,23
55,5,0,23
56,6,0,23
57,6,0,23
58,6,0,24
59,6,0,25
60,6,0,25
61,6,0,25
62,6,0,26
63,6,0,27
64,6,0,28
