tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,1,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,7,0
7,0,9,0
8,0,10,0
9,0,11,0
10,0,12,0
11,0,14,0
12,0,15,0
13,0,16,0
14,0,16,0
15,0,18,0
16,0,18,0
17,0,18,0
18,0,18,0
19,0,18,0
20,0,18,0
21,0,18,0
22,0,18,0
23,0,16,2
24,3,13,3
25,3,11,5
26,4,11,6
27,4,11,6
28,4,11,6
29,5,10,6
30,5,11,6
31,5,12,6
32,5,12,6
33,5,14,6
34,5,15,6
35,5,15,6
36,5,15,6
37,4,14,8
38,4,14,8
39,4,14,8
40,3,14,10
41,3,15,10
42,2,16,10
43,2,16,10
44,2,16,10
45,2,16,11
46,4,15,12
47,2,15,19
48,2,15,20
