tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,1,0
4,0,1,0
5,1,2,0
6,1,4,0
7,2,5,0
8,3,5,0
9,5,5,0
10,5,5,0
11,6,6,0
12,6,7,0
13,4,8,2
14,4,10,2
15,3,10,6
16,3,11,6
17,1,14,6
18,1,14,6
19,1,16,7
20,0,15,9
21,0,15,9
22,0,15,9
23,0,15,9
24,0,15,9
25,0,15,11
26,0,15,12
27,0,15,12
28,0,15,12
29,0,15,12
30,0,15,12
31,0,15,12
32,0,15,12
33,0,15,12
34,0,15,12
35,0,15,12
36,0,15,13
37,0,16,13
38,1,16,13
39,1,16,13
40,1,16,13
41,1,16,13
42,2,16,14
43,2,15,17
44,2,15,18
45,3,13,22
46,4,13,22
47,4,13,23
48,1,15,25
49,1,16,25
50,1,16,26
51,1,16,27
52,1,16,27
53,1,16,27
54,1,16,28
55,1,16,28
56,1,16,28
57,2,15,28
58,2,15,29
59,2,15,31
