tick,blue,yellow,green
0,0,0,0
1,0,11,0
2,0,11,0
3,0,11,0
4,0,11,0
5,0,11,0
6,0,13,0
7,2,12,0
8,2,10,2
9,1,9,5
10,1,9,5
11,2,9,6
12,2,11,6
13,2,14,6
14,1,13,8
15,0,14,10
16,1,13,10
17,6,8,10
18,5,6,14
19,5,6,14
20,5,6,14
21,5,6,15
22,5,6,16
23,5,6,16
24,5,6,16
25,5,6,16
26,5,7,16
27,5,7,18
28,5,7,20
29,4,8,20
30,4,8,21
31,4,8,22
32,4,8,26
33,4,8,26
34,4,8,26
35,3,7,28
36,3,7,29
37,3,7,30
38,3,7,30
39,3,7,30
40,3,7,31
41,3,7,31
42,3,7,31
43,3,7,32
44,3,7,32
45,3,7,32
46,3,7,32
47,3,7,32
48,3,7,32
49,3,7,32
50,3,7,32
51,4,6,32
52,4,6,34
53,3,5,36
