tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,2,0,0
7,6,3,0
8,6,4,0
9,6,4,0
10,6,5,0
11,6,5,0
12,6,5,0
13,6,5,0
14,6,5,0
15,6,5,0
16,5,6,0
17,5,6,0
18,5,2,4
19,5,2,4
20,5,2,4
21,4,1,6
22,4,1,6
23,4,1,6
24,4,1,6
25,4,1,6
26,4,1,6
27,5,1,6
28,5,1,6
29,5,1,6
30,5,1,6
31,5,1,6
32,6,1,6
33,6,1,6
34,7,1,6
35,7,1,6
36,7,1,6
37,7,1,6
38,7,1,7
39,7,1,7
40,7,1,7
41,7,1,7
42,7,1,7
43,8,1,7
44,8,1,7
45,8,1,7
46,8,1,7
47,8,1,7
48,8,1,7
49,8,1,7
50,8,1,7
51,8,1,7
52,6,4,7
53,6,4,7
54,6,4,7
55,6,4,7
