tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,3,0,0
9,7,0,0
10,8,0,0
11,8,1,0
12,8,3,0
13,7,3,2
14,5,1,8
15,3,1,10
16,4,2,10
17,5,3,10
18,5,3,10
19,5,4,10
20,5,4,10
21,5,5,11
22,5,5,13
23,5,5,13
24,5,5,15
25,5,6,15
26,5,7,15
27,4,9,15
28,3,10,17
29,2,12,17
30,2,12,18
31,2,12,18
32,2,12,18
33,2,12,18
34,2,13,19
35,5,11,20
36,5,11,21
37,4,10,23
38,3,9,25
39,3,10,25
40,2,11,27
41,1,10,30
42,3,10,31
43,3,10,32
44,3,10,33
45,3,10,33
46,3,10,33
47,3,10,33
48,3,10,34
49,2,11,35
