tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,4,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,8,0
7,0,8,0
8,2,8,0
9,2,8,0
10,2,7,2
11,2,6,4
12,5,6,5
13,6,4,9
14,5,3,12
15,5,3,12
16,5,3,14
17,5,3,14
18,5,3,14
19,4,4,14
20,4,4,14
21,4,5,14
22,3,5,16
23,3,5,16
24,3,6,16
25,3,6,16
26,3,6,16
27,3,6,16
28,3,6,16
29,4,5,16
30,4,5,17
31,4,5,18
32,5,5,18
33,4,4,21
34,4,4,23
35,4,4,23
36,4,4,24
37,5,4,25
38,5,4,25
39,5,4,25
40,5,4,25
41,4,5,25
42,4,5,26
43,4,3,28
44,4,3,30
45,1,4,32
46,0,4,35
47,0,5,36
48,0,5,36
49,0,5,36
50,0,5,37
