tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,1,0
4,0,1,0
5,0,3,0
6,0,4,0
7,0,5,0
8,1,5,0
9,2,6,0
10,3,7,0
11,4,5,2
12,5,3,4
13,5,3,4
14,4,2,6
15,4,2,7
16,3,1,9
17,3,1,9
18,3,2,10
19,4,2,10
20,4,2,11
21,4,2,11
22,4,2,11
23,4,2,11
24,4,2,11
25,5,2,11
26,5,2,11
27,5,2,11
28,5,2,11
29,5,2,11
30,5,2,12
31,5,2,12
32,6,2,12
33,6,2,12
34,6,2,12
35,6,2,12
36,6,2,12
37,6,2,12
38,6,2,12
39,6,2,13
40,6,2,13
41,5,4,15
42,4,3,17
43,5,2,18
44,5,2,18
45,5,2,18
46,5,2,19
47,5,2,19
48,6,2,20
49,6,2,24
50,6,2,24
51,6,2,24
52,6,2,24
53,6,2,24
54,6,2,24
55,6,2,25
56,6,2,25
57,5,1,27
58,5,1,27
59,5,1,28
60,5,1,28
61,5,1,28
62,4,0,30
63,4,0,30
64,3,1,31
65,4,1,31
66,4,1,31
67,4,1,32
68,6,0,32
69,6,0,33
