tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,2,0,0
6,2,0,0
7,5,0,0
8,6,0,0
9,7,3,0
10,7,4,0
11,7,4,0
12,7,6,0
13,6,5,3
14,6,5,4
15,6,3,6
16,5,5,6
17,4,2,10
18,3,5,11
19,3,7,11
20,2,6,14
21,3,6,14
22,3,6,14
23,2,7,14
24,3,7,14
25,3,7,14
26,2,6,16
27,2,6,16
28,1,5,18
29,1,6,18
30,1,6,18
31,1,6,18
32,1,7,18
33,1,7,18
34,1,7,18
35,0,6,20
36,0,6,20
37,0,6,20
38,0,6,20
39,0,6,20
40,0,6,20
41,0,6,20
42,1,5,20
43,2,5,20
44,3,5,20
45,4,5,20
46,4,5,20
47,4,5,20
48,4,5,21
49,4,5,21
50,4,5,21
51,3,4,23
52,3,4,23
53,3,4,23
54,3,4,23
55,3,4,23
56,3,4,23
57,3,4,23
58,3,4,23
59,3,4,23
60,3,4,23
61,3,4,24
62,3,4,25
63,3,4,26
64,3,4,27
65,3,4,27
66,3,4,27
