tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,1,0
11,0,1,0
12,1,4,0
13,1,4,0
14,3,4,0
15,4,4,0
16,4,4,0
17,5,4,0
18,6,4,0
19,6,4,0
20,6,4,0
21,6,4,0
22,6,4,0
23,6,4,0
24,5,3,2
25,5,3,2
26,5,3,2
27,5,3,2
28,5,3,2
29,5,3,2
30,5,3,2
31,5,3,2
32,5,3,2
33,5,3,2
34,5,3,2
35,5,3,2
36,5,3,2
37,5,3,2
38,5,3,2
39,5,3,2
40,5,3,2
41,5,3,2
42,5,3,2
43,6,3,2
44,6,3,2
45,6,3,2
46,6,3,2
47,5,2,4
48,5,2,4
49,5,2,4
50,5,2,4
51,6,2,4
52,5,1,6
53,5,1,6
54,5,1,6
55,5,1,6
56,4,2,6
57,4,2,6
58,4,2,6
59,4,2,6
