tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,6,0,0
6,6,0,0
7,6,0,0
8,6,0,0
9,7,0,0
10,8,0,0
11,8,0,0
12,8,0,0
13,9,0,0
14,9,0,0
15,10,0,0
16,11,0,0
17,11,0,0
18,11,0,0
19,11,0,0
20,11,0,0
21,11,0,0
22,11,0,0
23,11,0,0
24,11,0,0
25,11,0,0
26,11,0,0
27,11,0,0
28,11,0,0
29,11,0,0
30,11,0,0
31,11,0,0
32,10,2,0
33,10,4,0
34,11,4,2
35,12,4,2
36,12,4,2
37,12,4,2
38,12,4,2
39,12,4,2
40,12,4,2
41,11,6,2
42,11,7,2
43,11,7,2
44,12,7,2
45,15,7,2
46,17,7,2
47,17,7,2
48,17,6,4
49,16,4,8
50,15,3,10
51,15,3,10
52,15,3,10
53,14,4,10
54,11,4,15
55,11,4,15
56,11,4,16
