tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,1,0,0
3,3,0,0
4,5,1,0
5,5,1,0
6,5,2,0
7,5,5,0
8,3,3,4
9,1,1,8
10,1,1,10
11,1,1,10
12,1,1,10
13,1,1,10
14,1,1,10
15,2,1,10
16,2,1,10
17,2,1,10
18,2,1,10
19,3,0,10
20,3,0,11
21,5,0,11
22,5,0,13
23,5,0,14
24,5,0,14
25,5,0,14
26,5,0,14
27,5,0,14
28,5,0,14
29,5,0,15
30,5,0,16
31,4,2,17
32,4,2,18
33,2,3,21
34,1,2,25
35,1,3,28
36,1,3,29
37,1,3,29
38,1,3,30
39,4,0,30
40,4,0,30
41,4,0,30
42,4,0,30
43,4,0,32
44,4,0,35
45,4,0,35
46,4,0,37
47,4,0,37
48,4,0,37
49,4,0,40
50,4,0,41
51,4,0,43
