tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,1,0
4,0,1,0
5,0,2,0
6,0,4,0
7,1,4,0
8,1,5,0
9,2,5,0
10,4,5,0
11,5,5,0
12,5,5,0
13,7,5,0
14,6,4,2
15,7,4,2
16,7,4,2
17,8,1,4
18,8,0,7
19,8,0,7
20,8,0,7
21,8,0,7
22,8,0,7
23,9,0,7
24,11,0,8
25,10,2,8
26,10,3,8
27,11,4,8
28,12,4,8
29,12,4,8
30,13,4,8
31,13,4,8
32,14,4,9
33,14,4,9
34,14,4,9
35,13,3,11
36,12,2,13
37,11,3,14
38,11,4,14
39,12,5,14
40,12,6,14
41,12,5,18
42,10,5,20
43,10,5,22
44,6,6,28
45,6,6,29
46,6,6,29
47,6,6,29
48,6,6,29
49,6,6,29
50,6,6,29
51,6,6,29
52,6,6,29
