tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,2,0
4,0,3,0
5,1,6,0
6,1,6,0
7,1,6,0
8,1,6,0
9,2,7,0
10,2,8,0
11,2,9,0
12,2,9,0
13,2,9,0
14,1,10,0
15,0,10,2
16,0,10,4
17,0,11,6
18,0,10,9
19,0,13,9
20,0,13,9
21,0,13,9
22,0,13,9
23,0,13,9
24,0,13,10
25,0,13,11
26,0,13,11
27,5,10,11
28,3,8,15
29,4,7,16
30,4,6,18
31,7,2,21
32,7,2,22
33,7,2,22
34,6,1,24
35,6,1,24
36,6,1,25
37,6,1,25
38,6,1,26
39,6,1,27
40,6,1,27
41,6,1,27
42,6,1,29
43,6,1,30
44,6,1,30
45,6,1,30
46,6,1,30
47,6,1,30
48,6,1,30
49,6,1,30
50,6,1,30
51,6,1,31
52,6,1,32
53,6,1,33
54,6,1,33
55,6,1,34
56,6,1,34
57,6,1,34
58,6,1,34
59,6,2,34
60,6,2,34
61,6,2,34
62,6,2,34
63,6,2,34
64,6,3,34
65,6,4,36
66,6,4,37
67,6,4,37
68,6,4,37
