tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,1,0,0
3,1,2,0
4,1,3,0
5,1,5,0
6,1,5,0
7,1,6,0
8,1,6,0
9,0,5,2
10,0,4,5
11,0,4,5
12,0,4,5
13,0,5,5
14,0,5,5
15,0,5,5
16,0,7,5
17,0,7,5
18,0,8,5
19,0,6,7
20,0,6,9
21,5,2,10
22,5,2,12
23,6,2,12
24,6,2,12
25,6,2,12
26,4,3,14
27,4,4,16
28,7,1,19
29,7,1,20
30,7,1,20
31,7,1,20
32,7,1,20
33,7,1,20
34,7,1,20
35,7,1,20
36,10,0,20
37,10,0,21
38,12,0,21
39,12,0,21
40,12,0,21
41,12,0,21
42,12,0,21
43,12,0,21
44,12,0,21
45,12,0,21
46,12,0,21
47,12,0,21
48,12,0,21
49,12,0,21
50,11,1,21
51,10,4,21
52,10,4,21
53,9,5,21
54,9,7,21
55,9,7,21
56,9,7,21
57,9,7,21
58,9,7,21
59,8,6,23
60,9,5,23
61,9,5,23
62,9,3,25
63,9,3,26
64,9,3,26
65,9,3,26
66,8,2,28
67,8,2,28
