tick,blue,yellow,green
0,0,0,0
1,0,0,0
2,0,0,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,6,0
7,0,8,0
8,0,8,0
9,0,9,0
10,1,9,0
11,1,7,2
12,6,2,5
13,8,2,6
14,8,2,6
15,6,2,8
16,4,2,11
17,4,2,12
18,4,2,12
19,4,2,12
20,4,2,12
21,4,2,12
22,4,2,12
23,4,3,12
24,4,3,12
25,4,3,12
26,4,3,12
27,4,3,13
28,4,3,15
29,4,3,18
30,3,4,20
31,3,4,20
32,3,4,20
33,3,4,20
34,3,4,20
35,3,4,20
36,3,4,22
37,5,3,23
38,5,3,23
39,5,3,23
40,5,3,23
41,5,3,23
42,5,3,23
43,5,3,23
44,4,4,23
45,4,4,23
46,4,4,23
47,4,4,23
48,4,4,23
49,4,4,23
50,4,4,23
51,4,4,23
52,4,4,24
53,4,4,24
54,4,4,25
55,4,4,25
56,4,4,26
57,4,4,26
58,4,4,26
59,4,4,26
60,4,4,26
61,4,4,26
62,3,5,26
63,3,5,27
64,3,5,27
65,2,4,29
66,2,4,29
67,2,4,29
68,2,4,29
69,2,4,30
