tick,blue,yellow,green,uninformed
0,6,8,0,236
1,6,8,0,236
2,7,10,0,233
3,9,10,0,231
4,10,10,0,230
5,13,13,0,224
6,15,13,0,222
7,16,15,0,219
8,19,17,0,214
9,19,19,0,212
10,22,19,0,209
11,25,19,0,206
12,26,19,0,205
13,28,21,0,201
14,29,22,0,199
15,31,24,0,195
16,32,26,0,192
17,32,27,0,191
18,34,27,0,189
19,36,29,0,185
20,37,32,0,181
21,40,33,0,177
22,39,34,1,176
23,37,34,5,174
24,37,37,7,169
25,36,37,9,168
26,36,39,10,165
27,36,41,10,163
28,36,44,12,158
29,39,46,13,152
30,41,49,13,147
31,37,50,17,146
32,38,54,17,141
33,37,56,18,139
34,36,56,19,139
35,37,59,19,135
36,38,60,19,133
37,38,64,19,129
38,38,68,19,125
39,38,69,20,123
40,40,70,21,119
41,41,70,22,117
42,42,73,22,113
43,43,73,22,112
44,43,73,23,111
45,44,72,25,109
46,44,74,26,106
47,46,74,29,101
48,47,74,30,99
49,48,70,34,98
50,50,72,36,92
51,50,71,40,89
52,52,71,41,86
53,53,72,42,83
54,54,72,44,80
55,53,71,47,79
56,52,71,50,77
57,52,71,52,75
58,52,70,55,73
59,51,71,57,71
60,50,70,61,69
61,50,67,66,67
62,50,67,69,64
63,50,67,70,63
64,50,66,73,61
65,51,66,74,59
66,49,68,77,56
67,50,66,81,53
68,50,65,84,51
69,49,65,85,51
70,48,64,88,50
71,47,63,91,49
72,47,61,93,49
73,47,58,96,49
74,46,57,103,44
75,47,57,103,43
76,46,56,107,41
77,47,58,107,38
78,49,57,109,35
79,48,57,114,31
80,46,55,119,30
81,46,53,121,30
82,45,51,124,30
83,45,52,126,27
84,45,48,130,27
85,44,47,132,27
86,45,44,137,24
87,45,41,140,24
88,45,39,143,23
89,45,39,145,21
90,45,39,147,19
91,45,39,147,19
92,45,36,151,18
93,45,33,154,18
94,46,32,155,17
95,45,30,159,16
96,45,30,160,15
97,44,27,164,15
98,43,26,169,12
99,43,26,170,11
100,44,26,170,10
101,44,24,172,10
102,43,22,175,10
103,41,22,180,7
104,39,19,185,7
105,38,18,187,7
106,36,19,189,6
107,33,19,192,6
108,33,16,195,6
109,31,15,198,6
110,31,13,200,6
111,31,13,200,6
112,29,12,203,6
113,28,12,206,4
114,27,11,208,4
115,27,8,211,4
116,26,7,215,2
117,24,6,218,2
118,23,6,219,2
119,23,6,219,2
120,24,6,219,1
121,24,6,220,0
122,24,6,220,0
123,22,6,222,0
124,22,6,222,0
125,22,6,222,0
126,22,5,223,0
127,21,4,225,0
128,20,4,226,0
129,19,4,227,0
130,19,3,228,0
131,19,3,228,0
132,18,3,229,0
133,18,3,229,0
134,18,3,229,0
135,18,3,229,0
136,18,3,229,0
137,18,2,230,0
138,18,2,230,0
139,18,2,230,0
140,18,2,230,0
141,18,2,230,0
142,18,2,230,0
143,18,2,230,0
144,18,2,230,0
145,18,1,231,0
146,18,1,231,0
147,18,1,231,0
148,18,1,231,0
149,18,1,231,0
150,18,1,231,0
151,18,1,231,0
152,18,1,231,0
153,16,0,234,0
154,16,0,234,0
155,15,0,235,0
156,14,0,236,0
157,14,0,236,0
158,14,0,236,0
159,14,0,236,0
160,14,0,236,0
161,14,0,236,0
162,14,0,236,0
163,14,0,236,0
164,14,0,236,0
165,14,0,236,0
166,14,0,236,0
167,13,0,237,0
168,11,0,239,0
169,10,0,240,0
170,10,0,240,0
171,10,0,240,0
172,9,0,241,0
173,9,0,241,0
174,9,0,241,0
175,9,0,241,0
176,8,0,242,0
177,7,0,243,0
178,5,0,245,0
179,5,0,245,0
180,4,0,246,0
181,4,0,246,0
182,2,0,248,0
183,2,0,248,0
