tick,blue,yellow,green,uninformed
0,7,4,0,239
1,8,4,0,238
2,11,4,0,235
3,12,3,1,234
4,13,4,2,231
5,13,2,4,231
6,13,2,6,229
7,14,3,6,227
8,15,4,7,224
9,17,4,7,222
10,19,4,7,220
11,22,4,7,217
12,23,4,7,216
13,24,6,7,213
14,26,7,7,210
15,28,8,8,206
16,31,8,11,200
17,33,10,11,196
18,36,11,13,190
19,36,11,15,188
20,37,12,16,185
21,38,12,17,183
22,40,11,18,181
23,42,11,18,179
24,43,11,19,177
25,42,9,22,177
26,43,6,26,175
27,43,5,28,174
28,44,4,29,173
29,44,4,31,171
30,48,4,31,167
31,49,4,31,166
32,51,4,33,162
33,51,3,35,161
34,53,3,37,157
35,52,3,41,154
36,58,3,43,146
37,59,3,43,145
38,60,3,43,144
39,60,3,44,143
40,62,3,47,138
41,62,3,47,138
42,63,2,48,137
43,64,2,48,136
44,64,2,51,133
45,65,2,53,130
46,67,1,56,126
47,71,1,57,121
48,72,1,58,119
49,73,1,58,118
50,73,1,59,117
51,73,1,64,112
52,76,1,65,108
53,76,1,65,108
54,76,1,68,105
55,77,1,68,104
56,78,0,72,100
57,78,0,74,98
58,81,0,74,95
59,84,0,78,88
60,87,0,81,82
61,88,0,82,80
62,91,0,84,75
63,91,0,86,73
64,92,0,87,71
65,95,0,87,68
66,94,0,88,68
67,94,0,90,66
68,95,0,91,64
69,94,0,96,60
70,92,0,99,59
71,91,0,102,57
72,89,0,104,57
73,87,0,109,54
74,85,0,114,51
75,81,0,118,51
76,80,0,119,51
77,78,0,122,50
78,76,0,127,47
79,73,0,130,47
80,71,0,132,47
81,72,0,132,46
82,71,0,133,46
83,68,0,138,44
84,67,0,142,41
85,66,0,143,41
86,64,0,146,40
87,63,0,147,40
88,61,0,150,39
89,60,0,155,35
90,58,0,160,32
91,58,0,161,31
92,54,0,165,31
93,52,0,167,31
94,51,0,168,31
95,49,0,172,29
96,48,0,175,27
97,45,0,179,26
98,42,0,182,26
99,40,0,186,24
100,40,0,188,22
101,38,0,192,20
102,37,0,193,20
103,34,0,196,20
104,31,0,200,19
105,31,0,200,19
106,28,0,205,17
107,24,0,210,16
108,22,0,213,15
109,22,0,213,15
110,19,0,217,14
111,18,0,219,13
112,16,0,221,13
113,16,0,222,12
114,14,0,224,12
115,14,0,225,11
116,13,0,226,11
117,11,0,228,11
118,11,0,228,11
119,10,0,230,10
120,9,0,231,10
121,9,0,231,10
122,8,0,233,9
123,7,0,234,9
124,7,0,234,9
125,7,0,234,9
126,7,0,234,9
127,7,0,234,9
128,7,0,234,9
129,7,0,235,8
130,6,0,236,8
131,6,0,236,8
132,6,0,237,7
133,6,0,238,6
134,6,0,238,6
135,6,0,238,6
136,6,0,238,6
137,5,0,239,6
138,4,0,240,6
139,4,0,240,6
140,3,0,242,5
141,3,0,242,5
142,3,0,243,4
143,3,0,243,4
144,3,0,243,4
145,3,0,243,4
146,3,0,243,4
147,3,0,243,4
148,3,0,243,4
149,3,0,243,4
150,3,0,243,4
151,3,0,244,3
152,3,0,245,2
153,2,0,246,2
154,2,0,246,2
155,2,0,246,2
156,2,0,246,2
157,0,0,248,2
158,0,0,248,2
