tick,blue,yellow,green,uninformed
0,8,3,0,239
1,9,4,0,237
2,10,4,0,236
3,12,4,0,234
4,12,6,0,232
5,14,6,0,230
6,15,7,0,228
7,16,8,0,226
8,20,8,0,222
9,23,10,0,217
10,24,14,0,212
11,26,14,0,210
12,28,14,0,208
13,33,14,0,203
14,34,14,0,202
15,35,18,0,197
16,38,21,0,191
17,40,21,0,189
18,42,22,0,186
19,44,23,0,183
20,46,26,0,178
21,47,27,0,176
22,48,27,0,175
23,50,27,0,173
24,53,27,0,170
25,56,28,0,166
26,59,31,0,160
27,63,33,0,154
28,66,35,0,149
29,68,39,0,143
30,71,43,0,136
31,78,44,0,128
32,83,44,0,123
33,84,45,0,121
34,88,45,0,117
35,89,46,0,115
36,91,46,0,113
37,91,48,0,111
38,94,49,0,107
39,97,49,2,102
40,99,50,3,98
41,100,53,3,94
42,104,53,3,90
43,106,54,3,87
44,107,55,3,85
45,109,57,3,81
46,113,57,3,77
47,116,58,4,72
48,116,61,5,68
49,118,61,7,64
50,119,62,7,62
51,120,62,8,60
52,122,62,8,58
53,122,61,10,57
54,123,62,11,54
55,123,59,14,54
56,123,60,15,52
57,125,60,15,50
58,126,60,15,49
59,129,58,17,46
60,127,55,23,45
61,128,53,26,43
62,129,53,29,39
63,127,52,32,39
64,128,52,32,38
65,128,53,34,35
66,127,55,37,31
67,127,56,40,27
68,125,56,42,27
69,125,55,43,27
70,124,55,45,26
71,121,54,49,26
72,119,53,52,26
73,117,54,55,24
74,117,52,59,22
75,114,50,64,22
76,112,49,69,20
77,112,49,70,19
78,111,47,73,19
79,109,46,76,19
80,109,46,78,17
81,111,46,78,15
82,110,45,82,13
83,107,44,87,12
84,106,44,89,11
85,106,43,91,10
86,103,41,96,10
87,103,39,98,10
88,104,39,100,7
89,104,37,103,6
90,104,33,107,6
91,99,31,114,6
92,98,31,115,6
93,97,29,118,6
94,96,28,120,6
95,95,28,121,6
96,95,25,124,6
97,93,24,128,5
98,92,24,129,5
99,92,23,130,5
100,90,22,133,5
101,90,21,134,5
102,91,19,136,4
103,91,18,139,2
104,90,15,144,1
105,89,13,147,1
106,89,12,148,1
107,87,11,151,1
108,86,9,154,1
109,86,8,155,1
110,86,6,157,1
111,85,5,159,1
112,85,5,160,0
113,85,3,162,0
114,85,2,163,0
115,84,1,165,0
116,81,1,168,0
117,79,1,170,0
118,79,1,170,0
119,79,1,170,0
120,78,1,171,0
121,76,1,173,0
122,75,1,174,0
123,73,1,176,0
124,73,0,177,0
125,71,0,179,0
126,70,0,180,0
127,70,0,180,0
128,67,0,183,0
129,67,0,183,0
130,67,0,183,0
131,67,0,183,0
132,67,0,183,0
133,67,0,183,0
134,67,0,183,0
135,65,0,185,0
136,65,0,185,0
137,65,0,185,0
138,65,0,185,0
139,65,0,185,0
140,61,0,189,0
141,59,0,191,0
142,57,0,193,0
143,57,0,193,0
144,55,0,195,0
145,51,0,199,0
146,50,0,200,0
147,48,0,202,0
148,46,0,204,0
149,45,0,205,0
150,45,0,205,0
151,45,0,205,0
152,44,0,206,0
153,43,0,207,0
154,43,0,207,0
155,42,0,208,0
156,42,0,208,0
157,42,0,208,0
158,42,0,208,0
159,42,0,208,0
160,41,0,209,0
161,41,0,209,0
162,39,0,211,0
163,39,0,211,0
164,39,0,211,0
165,38,0,212,0
166,37,0,213,0
167,36,0,214,0
168,35,0,215,0
169,34,0,216,0
170,32,0,218,0
171,31,0,219,0
172,31,0,219,0
173,28,0,222,0
174,28,0,222,0
175,27,0,223,0
176,27,0,223,0
177,26,0,224,0
178,25,0,225,0
179,25,0,225,0
180,25,0,225,0
181,24,0,226,0
182,24,0,226,0
183,20,0,230,0
184,19,0,231,0
185,19,0,231,0
186,17,0,233,0
187,17,0,233,0
188,17,0,233,0
189,17,0,233,0
190,16,0,234,0
191,16,0,234,0
192,16,0,234,0
193,16,0,234,0
194,14,0,236,0
195,13,0,237,0
196,13,0,237,0
197,13,0,237,0
198,13,0,237,0
199,12,0,238,0
200,10,0,240,0
201,8,0,242,0
202,8,0,242,0
203,8,0,242,0
204,8,0,242,0
205,7,0,243,0
206,6,0,244,0
207,6,0,244,0
208,5,0,245,0
209,5,0,245,0
210,5,0,245,0
211,5,0,245,0
212,5,0,245,0
213,4,0,246,0
214,4,0,246,0
215,4,0,246,0
216,4,0,246,0
217,4,0,246,0
218,4,0,246,0
219,4,0,246,0
220,4,0,246,0
221,4,0,246,0
222,4,0,246,0
223,4,0,246,0
224,4,0,246,0
225,4,0,246,0
226,3,0,247,0
227,3,0,247,0
