tick,blue,yellow,green,uninformed
0,8,6,0,236
1,9,7,0,234
2,10,9,0,231
3,11,10,0,229
4,12,10,0,228
5,14,11,0,225
6,16,11,0,223
7,18,13,0,219
8,20,14,0,216
9,21,14,0,215
10,24,14,0,212
11,25,14,0,211
12,27,15,0,208
13,32,16,0,202
14,36,18,0,196
15,39,19,0,192
16,43,22,0,185
17,44,23,0,183
18,46,27,0,177
19,48,28,0,174
20,48,30,0,172
21,49,30,0,171
22,52,31,0,167
23,53,37,0,160
24,55,37,0,158
25,57,39,0,154
26,60,41,0,149
27,60,44,0,146
28,64,47,0,139
29,65,48,0,137
30,67,49,0,134
31,69,52,0,129
32,70,52,0,128
33,73,55,1,121
34,75,55,1,119
35,77,56,1,116
36,78,58,2,112
37,80,59,2,109
38,80,61,2,107
39,83,61,2,104
40,86,64,2,98
41,88,64,2,96
42,91,66,2,91
43,94,71,2,83
44,96,73,2,79
45,95,74,6,75
46,96,73,8,73
47,99,73,8,70
48,97,74,10,69
49,99,74,11,66
50,102,73,13,62
51,104,70,16,60
52,104,69,17,60
53,107,69,20,54
54,107,69,20,54
55,108,71,21,50
56,108,71,23,48
57,109,70,26,45
58,112,70,27,41
59,113,69,29,39
60,111,66,34,39
61,111,66,36,37
62,111,65,39,35
63,109,64,44,33
64,110,63,46,31
65,109,62,50,29
66,108,63,53,26
67,108,59,57,26
68,109,57,59,25
69,106,57,63,24
70,105,55,67,23
71,104,50,74,22
72,103,50,76,21
73,102,49,78,21
74,101,49,82,18
75,101,49,83,17
76,101,47,87,15
77,101,45,91,13
78,99,43,95,13
79,96,41,100,13
80,92,41,104,13
81,88,41,109,12
82,85,41,112,12
83,83,41,114,12
84,80,39,122,9
85,78,37,126,9
86,75,35,131,9
87,74,33,135,8
88,73,30,140,7
89,74,28,143,5
90,73,27,145,5
91,70,27,148,5
92,67,26,152,5
93,62,26,157,5
94,59,26,160,5
95,56,26,163,5
96,52,23,171,4
97,51,23,172,4
98,51,21,174,4
99,50,21,175,4
100,46,21,179,4
101,46,19,182,3
102,43,18,186,3
103,39,16,192,3
104,33,16,198,3
105,30,14,203,3
106,27,14,206,3
107,26,8,213,3
108,26,7,214,3
109,25,7,215,3
110,25,7,215,3
111,23,7,217,3
112,22,6,220,2
113,21,6,221,2
114,21,4,223,2
115,22,3,224,1
116,21,3,225,1
117,21,2,226,1
118,21,2,226,1
119,20,1,228,1
120,20,1,228,1
121,20,1,228,1
122,20,1,228,1
123,19,1,229,1
124,18,1,230,1
125,17,1,231,1
126,17,1,231,1
127,14,1,234,1
128,14,1,234,1
129,14,1,234,1
130,14,1,234,1
131,14,1,234,1
132,13,1,235,1
133,12,1,236,1
134,11,0,238,1
135,10,0,239,1
136,9,0,240,1
137,8,0,241,1
138,6,0,243,1
139,6,0,243,1
140,5,0,245,0
141,5,0,245,0
142,5,0,245,0
143,5,0,245,0
144,5,0,245,0
145,5,0,245,0
146,5,0,245,0
147,5,0,245,0
148,5,0,245,0
149,5,0,245,0
150,5,0,245,0
151,4,0,246,0
152,4,0,246,0
153,3,0,247,0
154,3,0,247,0
