tick,blue,yellow,green,uninformed
0,3,10,0,237
1,3,12,0,235
2,3,14,0,233
3,3,18,0,229
4,3,18,0,229
5,3,19,0,228
6,3,20,0,227
7,4,22,0,224
8,3,25,1,221
9,3,26,1,220
10,3,28,1,218
11,3,29,1,217
12,3,29,1,217
13,4,31,1,214
14,4,33,1,212
15,4,36,1,209
16,4,40,1,205
17,4,42,1,203
18,4,44,2,200
19,4,48,2,196
20,4,50,2,194
21,3,55,3,189
22,3,58,3,186
23,4,61,3,182
24,5,65,3,177
25,5,68,3,174
26,5,69,3,173
27,6,72,4,168
28,7,76,4,163
29,7,79,4,160
30,7,86,4,153
31,7,86,6,151
32,8,87,7,148
33,7,90,8,145
34,10,93,8,139
35,10,102,8,130
36,10,108,8,124
37,10,113,11,116
38,9,116,12,113
39,8,117,14,111
40,9,119,14,108
41,9,119,16,106
42,9,120,18,103
43,9,121,18,102
44,9,122,19,100
45,9,123,20,98
46,9,127,20,94
47,9,127,21,93
48,9,131,22,88
49,9,133,23,85
50,9,133,24,84
51,9,136,24,81
52,9,136,26,79
53,10,135,27,78
54,10,137,27,76
55,11,138,27,74
56,10,140,28,72
57,9,140,30,71
58,9,140,32,69
59,9,140,33,68
60,8,139,35,68
61,6,139,39,66
62,4,140,42,64
63,4,144,43,59
64,3,146,45,56
65,3,147,45,55
66,3,148,47,52
67,3,147,49,51
68,3,148,49,50
69,3,148,50,49
70,3,149,51,47
71,3,148,52,47
72,3,149,54,44
73,3,147,56,44
74,2,147,58,43
75,2,146,61,41
76,2,147,61,40
77,2,147,63,38
78,2,146,64,38
79,2,147,65,36
80,2,147,66,35
81,2,146,67,35
82,2,145,68,35
83,2,142,71,35
84,2,142,71,35
85,2,141,73,34
86,2,140,76,32
87,2,140,76,32
88,2,141,76,31
89,2,139,78,31
90,2,136,81,31
91,2,135,83,30
92,2,133,85,30
93,2,133,85,30
94,2,131,89,28
95,2,128,93,27
96,2,124,97,27
97,2,123,99,26
98,2,121,102,25
99,2,119,104,25
100,1,119,106,24
101,1,117,110,22
102,1,117,111,21
103,1,118,112,19
104,1,116,115,18
105,1,113,119,17
106,1,112,121,16
107,1,111,122,16
108,1,112,122,15
109,1,111,123,15
110,1,108,126,15
111,1,104,130,15
112,1,102,133,14
113,1,101,136,12
114,1,100,138,11
115,0,101,140,9
116,0,98,143,9
117,0,98,143,9
118,0,96,146,8
119,0,90,152,8
120,0,89,153,8
121,0,89,153,8
122,0,83,159,8
123,0,83,159,8
124,0,82,160,8
125,0,81,162,7
126,0,79,165,6
127,0,78,166,6
128,0,76,169,5
129,0,74,172,4
130,0,69,177,4
131,0,67,180,3
132,0,66,181,3
133,0,65,182,3
134,0,63,184,3
135,0,62,185,3
136,0,61,186,3
137,0,58,190,2
138,0,56,193,1
139,0,55,194,1
140,0,51,198,1
141,0,50,199,1
142,0,48,201,1
143,0,45,204,1
144,0,44,205,1
145,0,43,206,1
146,0,38,211,1
147,0,36,213,1
148,0,32,217,1
149,0,32,217,1
150,0,32,217,1
151,0,31,218,1
152,0,28,221,1
153,0,25,224,1
154,0,25,224,1
155,0,21,228,1
156,0,20,229,1
157,0,20,229,1
158,0,19,230,1
159,0,19,230,1
160,0,17,233,0
161,0,15,235,0
162,0,14,236,0
163,0,12,238,0
164,0,10,240,0
165,0,9,241,0
166,0,8,242,0
167,0,8,242,0
168,0,8,242,0
169,0,8,242,0
170,0,7,243,0
171,0,7,243,0
172,0,6,244,0
173,0,6,244,0
174,0,6,244,0
175,0,5,245,0
176,0,4,246,0
177,0,4,246,0
178,0,4,246,0
179,0,4,246,0
180,0,4,246,0
181,0,3,247,0
182,0,3,247,0
