tick,blue,yellow,green,uninformed
0,3,8,0,239
1,4,8,0,238
2,4,10,0,236
3,6,13,0,231
4,6,14,0,230
5,6,16,0,228
6,8,18,0,224
7,9,23,0,218
8,9,24,0,217
9,11,26,0,213
10,11,27,0,212
11,12,27,0,211
12,14,30,0,206
13,16,30,0,204
14,17,31,0,202
15,18,32,0,200
16,21,39,0,190
17,21,40,0,189
18,21,44,0,185
19,21,46,0,183
20,23,48,0,179
21,24,52,0,174
22,27,54,0,169
23,28,57,1,164
24,31,61,1,157
25,32,65,1,152
26,34,67,1,148
27,33,67,2,148
28,35,71,2,142
29,36,73,3,138
30,37,72,5,136
31,37,74,5,134
32,40,74,7,129
33,41,74,8,127
34,41,79,9,121
35,43,81,9,117
36,43,81,13,113
37,41,81,15,113
38,41,85,18,106
39,42,84,20,104
40,41,86,22,101
41,39,86,27,98
42,39,86,30,95
43,38,86,35,91
44,38,85,38,89
45,40,88,38,84
46,39,92,39,80
47,40,94,39,77
48,39,95,41,75
49,38,97,42,73
50,36,97,44,73
51,35,97,45,73
52,37,98,45,70
53,35,96,49,70
54,35,96,49,70
55,35,94,54,67
56,34,93,56,67
57,34,91,61,64
58,32,90,67,61
59,32,88,69,61
60,31,89,73,57
61,30,89,76,55
62,28,89,79,54
63,27,89,81,53
64,25,90,83,52
65,26,92,84,48
66,26,90,86,48
67,26,90,87,47
68,27,89,88,46
69,26,89,89,46
70,26,87,91,46
71,24,86,94,46
72,24,85,95,46
73,23,85,96,46
74,21,85,99,45
75,20,85,100,45
76,20,85,101,44
77,20,83,103,44
78,19,83,104,44
79,20,84,104,42
80,20,84,107,39
81,21,83,108,38
82,22,82,109,37
83,22,82,109,37
84,22,82,109,37
85,22,80,112,36
86,22,80,112,36
87,22,80,112,36
88,23,79,113,35
89,21,77,117,35
90,21,78,117,34
91,21,78,117,34
92,20,76,120,34
93,19,74,123,34
94,17,72,127,34
95,13,71,133,33
96,11,69,137,33
97,11,68,139,32
98,11,67,140,32
99,9,65,144,32
100,8,65,145,32
101,7,65,147,31
102,7,65,147,31
103,7,65,147,31
104,6,66,148,30
105,5,66,150,29
106,5,65,151,29
107,5,65,152,28
108,5,65,152,28
109,4,65,154,27
110,4,64,157,25
111,4,63,158,25
112,4,62,159,25
113,3,62,161,24
114,3,64,162,21
115,3,63,163,21
116,3,63,164,20
117,3,64,166,17
118,3,64,166,17
119,2,63,168,17
120,2,62,170,16
121,2,62,171,15
122,1,60,174,15
123,1,60,174,15
124,1,59,175,15
125,1,59,176,14
126,1,59,176,14
127,1,59,176,14
128,1,58,177,14
129,1,56,179,14
130,1,56,179,14
131,1,54,181,14
132,1,54,181,14
133,1,55,181,13
134,1,53,183,13
135,1,52,184,13
136,1,52,185,12
137,1,52,186,11
138,0,52,187,11
139,0,52,187,11
140,0,49,190,11
141,0,49,190,11
142,0,49,191,10
143,0,49,191,10
144,0,47,193,10
145,0,46,194,10
146,0,44,197,9
147,0,44,197,9
148,0,42,199,9
149,0,42,199,9
150,0,42,199,9
151,0,40,201,9
152,0,38,204,8
153,0,38,204,8
154,0,37,205,8
155,0,36,206,8
156,0,35,207,8
157,0,34,208,8
158,0,34,209,7
159,0,32,211,7
160,0,31,212,7
161,0,30,213,7
162,0,29,215,6
163,0,27,217,6
164,0,24,220,6
165,0,22,222,6
166,0,20,224,6
167,0,19,226,5
168,0,19,226,5
169,0,20,226,4
170,0,19,227,4
171,0,18,228,4
172,0,18,228,4
173,0,17,229,4
174,0,16,230,4
175,0,14,232,4
176,0,15,232,3
177,0,14,234,2
178,0,14,234,2
179,0,13,236,1
180,0,13,236,1
181,0,13,236,1
182,0,12,238,0
183,0,12,238,0
184,0,10,240,0
185,0,10,240,0
186,0,10,240,0
187,0,10,240,0
188,0,10,240,0
189,0,9,241,0
190,0,8,242,0
191,0,7,243,0
192,0,7,243,0
193,0,7,243,0
194,0,7,243,0
195,0,7,243,0
196,0,6,244,0
197,0,6,244,0
198,0,6,244,0
199,0,6,244,0
200,0,6,244,0
201,0,6,244,0
202,0,6,244,0
203,0,5,245,0
204,0,4,246,0
205,0,4,246,0
206,0,4,246,0
207,0,3,247,0
208,0,3,247,0
