tick,blue,yellow,green,uninformed
0,6,4,0,240
1,6,4,0,240
2,6,4,0,240
3,7,4,0,239
4,8,4,0,238
5,10,4,0,236
6,10,5,0,235
7,11,5,0,234
8,13,5,0,232
9,13,6,0,231
10,16,6,1,227
11,18,6,1,225
12,18,9,1,222
13,21,10,1,218
14,23,11,1,215
15,25,12,1,212
16,26,12,1,211
17,33,14,2,201
18,34,15,2,199
19,38,15,2,195
20,43,15,2,190
21,45,17,2,186
22,47,19,2,182
23,47,19,3,181
24,48,20,3,179
25,48,22,3,177
26,49,22,3,176
27,52,22,3,173
28,54,22,3,171
29,56,23,3,168
30,58,24,4,164
31,61,24,4,161
32,64,25,4,157
33,66,26,4,154
34,67,27,6,150
35,67,29,6,148
36,68,31,6,145
37,71,32,6,141
38,71,32,8,139
39,70,31,11,138
40,75,30,13,132
41,75,31,14,130
42,74,31,16,129
43,75,30,17,128
44,73,31,20,126
45,73,29,24,124
46,75,30,26,119
47,75,31,28,116
48,76,33,29,112
49,76,32,31,111
50,75,33,32,110
51,75,35,34,106
52,76,35,34,105
53,77,33,36,104
54,77,36,38,99
55,76,35,40,99
56,75,35,43,97
57,74,37,46,93
58,74,39,47,90
59,72,39,51,88
60,71,41,52,86
61,69,42,54,85
62,70,42,55,83
63,72,42,55,81
64,71,40,60,79
65,72,41,62,75
66,73,41,64,72
67,74,41,65,70
68,75,41,68,66
69,75,43,68,64
70,75,43,70,62
71,75,44,71,60
72,76,45,72,57
73,76,46,74,54
74,75,45,77,53
75,74,45,80,51
76,75,44,84,47
77,73,44,89,44
78,75,44,90,41
79,73,44,93,40
80,72,42,96,40
81,72,41,99,38
82,73,40,103,34
83,71,40,107,32
84,69,40,111,30
85,69,39,112,30
86,68,36,118,28
87,64,35,124,27
88,59,33,132,26
89,59,31,135,25
90,60,30,137,23
91,60,29,140,21
92,60,27,143,20
93,61,24,146,19
94,60,23,149,18
95,58,22,153,17
96,58,21,154,17
97,58,20,157,15
98,58,19,161,12
99,55,16,168,11
100,53,15,172,10
101,51,14,175,10
102,50,10,180,10
103,49,9,183,9
104,49,7,186,8
105,49,7,187,7
106,48,7,188,7
107,45,7,191,7
108,45,5,193,7
109,44,3,196,7
110,43,3,198,6
111,42,2,201,5
112,41,2,202,5
113,40,2,203,5
114,40,2,203,5
115,38,2,205,5
116,38,2,205,5
117,37,1,207,5
118,37,1,207,5
119,37,1,207,5
120,34,1,210,5
121,31,1,213,5
122,31,1,213,5
123,31,1,213,5
124,31,1,213,5
125,30,1,214,5
126,30,1,214,5
127,30,1,214,5
128,30,1,214,5
129,24,1,220,5
130,24,1,220,5
131,22,1,222,5
132,21,0,224,5
133,20,0,226,4
134,19,0,227,4
135,19,0,227,4
136,18,0,228,4
137,18,0,228,4
138,17,0,229,4
139,17,0,229,4
140,15,0,231,4
141,14,0,232,4
142,12,0,234,4
143,12,0,235,3
144,12,0,235,3
145,11,0,236,3
146,10,0,237,3
147,8,0,239,3
148,8,0,239,3
149,8,0,239,3
150,7,0,240,3
151,7,0,240,3
152,7,0,240,3
153,6,0,241,3
154,6,0,242,2
155,6,0,242,2
156,6,0,242,2
157,6,0,242,2
158,5,0,243,2
159,5,0,243,2
160,4,0,244,2
161,3,0,245,2
162,3,0,245,2
163,3,0,245,2
164,3,0,245,2
165,3,0,246,1
166,3,0,246,1
167,3,0,246,1
168,3,0,246,1
169,2,0,247,1
170,2,0,247,1
