tick,blue,yellow,green,uninformed
0,5,5,0,240
1,6,9,0,235
2,6,10,0,234
3,9,11,0,230
4,9,13,0,228
5,11,14,0,225
6,11,17,0,222
7,14,19,0,217
8,17,21,0,212
9,19,23,0,208
10,20,26,0,204
11,20,27,0,203
12,23,29,0,198
13,23,30,0,197
14,24,32,0,194
15,25,34,0,191
16,25,37,0,188
17,24,40,1,185
18,27,46,1,176
19,29,48,1,172
20,30,47,2,171
21,31,50,2,167
22,32,53,2,163
23,31,53,4,162
24,31,59,5,155
25,32,61,5,152
26,34,62,5,149
27,36,63,6,145
28,37,65,9,139
29,38,65,10,137
30,40,68,11,131
31,41,70,11,128
32,44,73,12,121
33,48,75,12,115
34,50,76,12,112
35,51,78,13,108
36,55,77,14,104
37,56,80,14,100
38,57,80,15,98
39,58,82,16,94
40,60,83,16,91
41,62,85,16,87
42,63,88,16,83
43,65,89,18,78
44,64,90,20,76
45,64,90,21,75
46,65,93,21,71
47,65,92,22,71
48,65,94,23,68
49,65,96,23,66
50,65,97,23,65
51,66,99,23,62
52,66,98,25,61
53,66,99,28,57
54,67,99,28,56
55,67,99,31,53
56,67,99,33,51
57,67,100,34,49
58,67,102,34,47
59,67,107,36,40
60,65,109,38,38
61,64,113,40,33
62,62,114,43,31
63,62,110,48,30
64,62,107,51,30
65,62,106,55,27
66,63,103,59,25
67,63,104,61,22
68,63,98,67,22
69,60,99,70,21
70,60,99,72,19
71,62,99,73,16
72,61,99,74,16
73,57,96,81,16
74,55,97,84,14
75,56,96,85,13
76,56,96,87,11
77,56,95,89,10
78,55,94,91,10
79,51,90,99,10
80,49,88,103,10
81,49,85,107,9
82,49,83,109,9
83,50,82,110,8
84,50,81,111,8
85,47,77,119,7
86,45,74,124,7
87,45,68,130,7
88,45,62,136,7
89,45,61,137,7
90,45,61,138,6
91,45,60,139,6
92,45,58,141,6
93,44,58,142,6
94,43,56,145,6
95,42,54,148,6
96,39,54,151,6
97,39,53,152,6
98,37,51,157,5
99,37,50,158,5
100,37,50,158,5
101,36,50,159,5
102,37,49,160,4
103,37,48,161,4
104,36,48,162,4
105,36,47,163,4
106,35,45,166,4
107,35,44,167,4
108,32,44,170,4
109,31,44,171,4
110,32,44,171,3
111,30,42,175,3
112,26,40,181,3
113,26,38,183,3
114,26,37,184,3
115,26,37,184,3
116,26,35,186,3
117,25,34,189,2
118,25,33,190,2
119,25,33,190,2
120,25,31,192,2
121,24,31,193,2
122,24,31,194,1
123,24,31,194,1
124,23,28,199,0
125,22,27,201,0
126,19,25,206,0
127,17,25,208,0
128,15,25,210,0
129,14,25,211,0
130,13,23,214,0
131,12,23,215,0
132,11,23,216,0
133,10,22,218,0
134,10,22,218,0
135,10,22,218,0
136,10,19,221,0
137,10,19,221,0
138,10,19,221,0
139,9,19,222,0
140,8,19,223,0
141,8,18,224,0
142,8,18,224,0
143,8,18,224,0
144,8,18,224,0
145,8,18,224,0
146,8,18,224,0
147,8,18,224,0
148,8,18,224,0
149,7,17,226,0
150,7,16,227,0
151,6,15,229,0
152,6,14,230,0
153,6,13,231,0
154,6,13,231,0
155,6,13,231,0
156,6,10,234,0
157,6,10,234,0
158,6,10,234,0
159,6,10,234,0
160,6,10,234,0
161,6,10,234,0
162,6,9,235,0
163,6,8,236,0
164,5,8,237,0
165,5,7,238,0
166,5,6,239,0
167,5,5,240,0
168,3,5,242,0
169,3,5,242,0
170,3,5,242,0
171,3,5,242,0
172,3,5,242,0
173,3,3,244,0
174,3,3,244,0
175,3,3,244,0
176,3,2,245,0
177,3,1,246,0
178,3,1,246,0
179,2,1,247,0
180,2,1,247,0
