tick,blue,yellow,green,uninformed
0,5,7,0,238
1,5,8,0,237
2,6,9,0,235
3,6,9,0,235
4,7,9,0,234
5,7,9,0,234
6,7,9,0,234
7,9,10,0,231
8,9,10,0,231
9,10,11,0,229
10,12,12,0,226
11,13,14,0,223
12,15,14,0,221
13,16,14,0,220
14,18,18,0,214
15,21,18,0,211
16,25,20,0,205
17,29,21,0,200
18,31,22,0,197
19,31,24,0,195
20,34,27,0,189
21,36,27,1,186
22,36,28,1,185
23,39,30,1,180
24,41,31,1,177
25,43,33,1,173
26,47,35,1,167
27,49,35,2,164
28,50,35,4,161
29,53,35,6,156
30,56,36,7,151
31,57,35,8,150
32,57,35,11,147
33,58,35,12,145
34,59,36,14,141
35,60,36,16,138
36,58,38,18,136
37,58,38,20,134
38,59,39,20,132
39,59,39,20,132
40,62,39,20,129
41,64,39,20,127
42,66,37,22,125
43,64,37,24,125
44,64,37,24,125
45,66,37,25,122
46,68,37,26,119
47,70,36,28,116
48,70,37,28,115
49,71,37,29,113
50,71,36,30,113
51,73,36,30,111
52,78,36,30,106
53,81,35,31,103
54,80,34,36,100
55,82,35,36,97
56,85,35,36,94
57,87,37,37,89
58,89,37,38,86
59,94,37,39,80
60,92,39,42,77
61,92,38,44,76
62,93,38,48,71
63,94,38,49,69
64,95,38,50,67
65,95,38,50,67
66,94,37,53,66
67,96,37,55,62
68,96,37,56,61
69,95,35,59,61
70,96,35,60,59
71,95,34,62,59
72,92,33,66,59
73,94,31,68,57
74,93,31,69,57
75,92,31,71,56
76,91,31,75,53
77,89,31,78,52
78,88,31,80,51
79,85,31,83,51
80,84,31,84,51
81,83,31,86,50
82,80,31,90,49
83,79,32,91,48
84,77,32,95,46
85,77,31,98,44
86,77,31,99,43
87,74,31,103,42
88,71,32,106,41
89,70,32,107,41
90,66,32,111,41
91,66,32,111,41
92,65,32,116,37
93,64,32,117,37
94,61,32,120,37
95,61,32,120,37
96,59,32,122,37
97,59,32,123,36
98,58,31,126,35
99,55,32,129,34
100,56,31,130,33
101,55,29,134,32
102,54,29,136,31
103,54,29,138,29
104,54,29,139,28
105,53,28,142,27
106,52,28,144,26
107,52,28,144,26
108,51,29,146,24
109,50,29,148,23
110,50,29,149,22
111,49,28,152,21
112,49,27,153,21
113,48,27,154,21
114,47,27,155,21
115,48,27,155,20
116,48,27,156,19
117,48,26,158,18
118,48,26,160,16
119,48,25,161,16
120,48,23,164,15
121,48,23,164,15
122,48,23,165,14
123,47,23,167,13
124,47,23,167,13
125,47,22,169,12
126,47,21,170,12
127,47,21,172,10
128,48,21,172,9
129,51,21,172,6
130,51,21,172,6
131,51,21,174,4
132,50,20,176,4
133,50,19,177,4
134,50,18,178,4
135,50,18,179,3
136,50,18,179,3
137,47,17,183,3
138,47,17,183,3
139,46,17,184,3
140,45,17,185,3
141,43,16,188,3
142,43,16,188,3
143,43,16,188,3
144,40,16,191,3
145,38,16,193,3
146,37,16,194,3
147,36,16,195,3
148,35,14,198,3
149,34,14,199,3
150,34,14,199,3
151,34,14,199,3
152,33,14,200,3
153,32,14,202,2
154,31,14,203,2
155,29,13,206,2
156,29,13,206,2
157,29,13,207,1
158,29,13,207,1
159,29,13,207,1
160,28,13,208,1
161,27,13,209,1
162,27,12,210,1
163,25,12,212,1
164,23,12,214,1
165,21,12,216,1
166,17,12,220,1
167,17,12,220,1
168,17,12,221,0
169,15,12,223,0
170,15,12,223,0
171,14,12,224,0
172,13,12,225,0
173,12,12,226,0
174,12,12,226,0
175,10,12,228,0
176,10,12,228,0
177,9,12,229,0
178,7,12,231,0
179,7,12,231,0
180,7,12,231,0
181,7,12,231,0
182,7,12,231,0
183,7,12,231,0
184,6,11,233,0
185,6,10,234,0
186,5,10,235,0
187,3,10,237,0
188,3,10,237,0
189,3,10,237,0
190,3,10,237,0
191,2,9,239,0
192,1,9,240,0
193,0,9,241,0
194,0,9,241,0
195,0,9,241,0
196,0,9,241,0
197,0,9,241,0
198,0,9,241,0
199,0,9,241,0
200,0,9,241,0
201,0,8,242,0
202,0,7,243,0
203,0,7,243,0
204,0,7,243,0
205,0,7,243,0
206,0,6,244,0
207,0,5,245,0
208,0,4,246,0
209,0,4,246,0
210,0,4,246,0
211,0,4,246,0
212,0,4,246,0
213,0,3,247,0
214,0,3,247,0
