tick,blue,yellow,green,uninformed
0,6,4,0,240
1,7,4,0,239
2,10,4,0,236
3,11,4,0,235
4,13,5,0,232
5,14,5,0,231
6,14,7,0,229
7,14,7,0,229
8,14,7,0,229
9,15,8,0,227
10,16,10,0,224
11,17,13,0,220
12,19,13,0,218
13,21,14,0,215
14,22,17,0,211
15,24,17,0,209
16,26,19,0,205
17,29,19,0,202
18,29,19,0,202
19,29,20,0,201
20,32,21,0,197
21,33,21,0,196
22,34,22,0,194
23,35,24,0,191
24,35,26,0,189
25,37,26,0,187
26,38,27,0,185
27,38,28,1,183
28,39,29,1,181
29,40,29,1,180
30,40,33,1,176
31,42,35,1,172
32,44,36,1,169
33,45,39,1,165
34,46,40,1,163
35,50,40,1,159
36,51,42,1,156
37,53,44,1,152
38,54,44,1,151
39,59,46,1,144
40,61,50,2,137
41,60,51,4,135
42,60,51,5,134
43,62,51,6,131
44,63,53,8,126
45,64,54,8,124
46,64,54,8,124
47,64,57,8,121
48,66,56,9,119
49,65,57,11,117
50,66,57,12,115
51,67,58,13,112
52,69,60,14,107
53,69,60,16,105
54,71,61,16,102
55,70,61,18,101
56,69,61,22,98
57,71,61,23,95
58,72,61,24,93
59,76,63,24,87
60,77,65,25,83
61,80,65,25,80
62,79,67,26,78
63,80,66,28,76
64,81,67,29,73
65,81,67,30,72
66,82,65,32,71
67,80,65,34,71
68,80,67,35,68
69,80,69,37,64
70,81,72,38,59
71,76,74,43,57
72,77,75,44,54
73,78,74,45,53
74,80,75,46,49
75,81,77,46,46
76,79,79,48,44
77,79,80,49,42
78,77,79,53,41
79,75,79,55,41
80,75,78,56,41
81,76,81,56,37
82,76,82,58,34
83,74,83,61,32
84,73,81,67,29
85,73,79,70,28
86,73,80,73,24
87,71,79,78,22
88,70,76,82,22
89,69,74,85,22
90,67,72,91,20
91,63,72,96,19
92,63,73,97,17
93,61,73,100,16
94,59,72,103,16
95,57,71,108,14
96,55,69,113,13
97,54,68,115,13
98,49,67,121,13
99,47,65,125,13
100,46,63,130,11
101,41,60,139,10
102,39,57,145,9
103,38,56,148,8
104,36,54,153,7
105,35,53,156,6
106,33,51,160,6
107,29,49,166,6
108,29,48,167,6
109,29,48,167,6
110,28,47,169,6
111,28,45,171,6
112,28,43,173,6
113,27,41,176,6
114,28,40,178,4
115,25,38,183,4
116,25,37,184,4
117,24,35,187,4
118,22,34,190,4
119,20,34,193,3
120,19,32,196,3
121,19,31,197,3
122,19,30,199,2
123,18,28,203,1
124,14,28,207,1
125,14,26,209,1
126,13,26,210,1
127,13,25,211,1
128,12,24,213,1
129,11,24,214,1
130,10,22,217,1
131,10,19,220,1
132,9,19,222,0
133,9,18,223,0
134,8,16,226,0
135,6,16,228,0
136,6,14,230,0
137,6,12,232,0
138,6,12,232,0
139,5,9,236,0
140,5,8,237,0
141,5,8,237,0
142,4,8,238,0
143,3,8,239,0
144,3,8,239,0
145,2,7,241,0
146,2,7,241,0
147,2,5,243,0
148,1,4,245,0
149,1,4,245,0
150,1,4,245,0
151,0,3,247,0
152,0,3,247,0
