tick,blue,yellow,green,uninformed
0,4,8,0,238
1,4,8,0,238
2,4,9,1,236
3,4,11,2,233
4,4,15,2,229
5,6,16,2,226
6,6,19,2,223
7,6,20,3,221
8,5,24,6,215
9,7,27,6,210
10,7,31,7,205
11,7,32,7,204
12,8,33,8,201
13,9,36,8,197
14,11,36,9,194
15,12,37,11,190
16,14,39,13,184
17,15,41,14,180
18,17,43,14,176
19,18,44,14,174
20,18,44,15,173
21,19,45,18,168
22,19,43,21,167
23,21,43,22,164
24,21,45,23,161
25,21,46,23,160
26,21,48,23,158
27,20,50,24,156
28,21,54,27,148
29,22,54,27,147
30,22,54,29,145
31,23,56,29,142
32,23,55,31,141
33,23,55,32,140
34,23,57,33,137
35,24,60,33,133
36,24,62,35,129
37,25,66,35,124
38,25,67,36,122
39,25,69,37,119
40,26,68,38,118
41,26,70,40,114
42,27,69,42,112
43,29,69,43,109
44,29,69,46,106
45,28,71,48,103
46,27,74,51,98
47,25,73,55,97
48,25,72,56,97
49,24,71,60,95
50,24,72,61,93
51,24,72,64,90
52,23,73,67,87
53,22,73,70,85
54,22,73,74,81
55,21,71,78,80
56,21,71,79,79
57,21,71,81,77
58,21,69,84,76
59,21,65,88,76
60,21,66,88,75
61,20,68,90,72
62,20,67,91,72
63,20,68,91,71
64,19,65,95,71
65,18,64,97,71
66,19,63,101,67
67,18,63,104,65
68,18,63,106,63
69,17,64,107,62
70,17,66,110,57
71,17,62,116,55
72,15,58,123,54
73,12,56,129,53
74,11,57,130,52
75,11,58,131,50
76,12,59,133,46
77,11,58,135,46
78,12,58,137,43
79,12,60,138,40
80,12,59,139,40
81,12,60,139,39
82,12,60,141,37
83,12,57,144,37
84,12,55,146,37
85,10,55,150,35
86,9,55,151,35
87,8,55,153,34
88,8,56,154,32
89,8,58,154,30
90,8,58,155,29
91,8,57,157,28
92,7,57,160,26
93,6,57,162,25
94,6,57,163,24
95,6,57,166,21
96,6,57,167,20
97,5,55,170,20
98,4,54,173,19
99,3,54,175,18
100,2,54,176,18
101,2,52,178,18
102,1,52,179,18
103,1,50,183,16
104,0,50,184,16
105,0,49,185,16
106,0,49,185,16
107,0,49,185,16
108,0,48,187,15
109,0,47,189,14
110,0,46,190,14
111,0,46,190,14
112,0,43,193,14
113,0,43,194,13
114,0,42,195,13
115,0,42,195,13
116,0,41,196,13
117,0,40,197,13
118,0,39,198,13
119,0,38,200,12
120,0,38,200,12
121,0,38,201,11
122,0,38,201,11
123,0,38,201,11
124,0,39,201,10
125,0,39,201,10
126,0,39,201,10
127,0,37,203,10
128,0,38,204,8
129,0,37,205,8
130,0,38,205,7
131,0,36,207,7
132,0,37,207,6
133,0,37,207,6
134,0,37,207,6
135,0,38,207,5
136,0,36,209,5
137,0,37,209,4
138,0,37,209,4
139,0,37,209,4
140,0,36,210,4
141,0,36,212,2
142,0,35,213,2
143,0,34,214,2
144,0,35,214,1
145,0,34,215,1
146,0,35,215,0
147,0,35,215,0
148,0,34,216,0
149,0,34,216,0
150,0,34,216,0
151,0,33,217,0
152,0,33,217,0
153,0,32,218,0
154,0,32,218,0
155,0,32,218,0
156,0,32,218,0
157,0,32,218,0
158,0,31,219,0
159,0,29,221,0
160,0,29,221,0
161,0,29,221,0
162,0,29,221,0
163,0,29,221,0
164,0,29,221,0
165,0,29,221,0
166,0,29,221,0
167,0,28,222,0
168,0,28,222,0
169,0,27,223,0
170,0,27,223,0
171,0,27,223,0
172,0,27,223,0
173,0,27,223,0
174,0,27,223,0
175,0,27,223,0
176,0,27,223,0
177,0,27,223,0
178,0,27,223,0
179,0,27,223,0
180,0,26,224,0
181,0,26,224,0
182,0,26,224,0
183,0,26,224,0
184,0,26,224,0
185,0,24,226,0
186,0,24,226,0
187,0,24,226,0
188,0,24,226,0
189,0,24,226,0
190,0,23,227,0
191,0,23,227,0
192,0,23,227,0
193,0,23,227,0
194,0,21,229,0
195,0,21,229,0
196,0,20,230,0
197,0,20,230,0
198,0,19,231,0
199,0,18,232,0
200,0,18,232,0
201,0,18,232,0
202,0,18,232,0
203,0,18,232,0
204,0,17,233,0
205,0,17,233,0
206,0,16,234,0
207,0,16,234,0
208,0,16,234,0
209,0,14,236,0
210,0,10,240,0
211,0,9,241,0
212,0,9,241,0
213,0,9,241,0
214,0,9,241,0
215,0,9,241,0
216,0,8,242,0
217,0,7,243,0
218,0,7,243,0
219,0,6,244,0
220,0,6,244,0
221,0,5,245,0
222,0,5,245,0
223,0,5,245,0
224,0,4,246,0
225,0,4,246,0
226,0,4,246,0
227,0,4,246,0
228,0,3,247,0
229,0,3,247,0
