tick,blue,yellow,green,uninformed
0,5,5,0,240
1,5,5,0,240
2,6,6,0,238
3,6,7,1,236
4,6,7,3,234
5,7,9,3,231
6,7,12,4,227
7,7,13,6,224
8,7,15,6,222
9,7,15,7,221
10,10,15,8,217
11,11,16,8,215
12,13,16,8,213
13,14,15,9,212
14,14,17,9,210
15,15,18,10,207
16,15,18,11,206
17,17,17,14,202
18,20,19,16,195
19,22,20,17,191
20,23,22,20,185
21,25,22,20,183
22,26,23,21,180
23,26,23,23,178
24,28,24,25,173
25,28,25,26,171
26,30,25,28,167
27,32,24,32,162
28,32,24,34,160
29,31,24,36,159
30,31,25,37,157
31,31,26,37,156
32,32,29,38,151
33,32,29,41,148
34,29,29,44,148
35,31,29,46,144
36,32,31,47,140
37,32,31,50,137
38,32,35,52,131
39,33,37,55,125
40,32,38,59,121
41,32,42,59,117
42,30,42,61,117
43,31,43,64,112
44,31,44,65,110
45,30,46,68,106
46,30,48,69,103
47,29,47,73,101
48,29,48,74,99
49,31,48,75,96
50,31,50,75,94
51,30,49,77,94
52,31,49,78,92
53,32,49,81,88
54,32,49,84,85
55,33,49,85,83
56,33,51,86,80
57,35,52,88,75
58,36,54,88,72
59,36,53,91,70
60,37,54,92,67
61,36,54,93,67
62,36,51,96,67
63,36,51,97,66
64,36,51,98,65
65,36,50,100,64
66,37,51,101,61
67,37,51,103,59
68,37,52,103,58
69,37,52,103,58
70,37,51,104,58
71,37,50,105,58
72,38,49,107,56
73,38,50,109,53
74,39,50,110,51
75,38,49,112,51
76,38,48,113,51
77,38,48,115,49
78,38,49,115,48
79,37,48,117,48
80,37,47,118,48
81,36,47,120,47
82,37,46,121,46
83,37,46,121,46
84,37,45,122,46
85,37,46,122,45
86,37,46,123,44
87,36,44,126,44
88,36,42,128,44
89,36,41,129,44
90,35,41,130,44
91,35,39,133,43
92,34,36,138,42
93,34,36,138,42
94,34,34,140,42
95,33,32,143,42
96,33,30,146,41
97,34,27,150,39
98,34,27,150,39
99,34,24,154,38
100,34,24,154,38
101,32,23,157,38
102,31,22,159,38
103,31,22,160,37
104,31,22,160,37
105,31,23,160,36
106,29,22,163,36
107,29,22,164,35
108,29,21,165,35
109,28,18,169,35
110,28,17,170,35
111,28,17,170,35
112,28,16,171,35
113,27,16,173,34
114,26,15,176,33
115,26,13,178,33
116,26,13,178,33
117,26,10,181,33
118,27,9,182,32
119,26,8,184,32
120,25,6,187,32
121,25,6,189,30
122,25,7,191,27
123,25,7,192,26
124,25,7,192,26
125,25,7,192,26
126,25,7,192,26
127,25,7,193,25
128,24,7,194,25
129,24,7,195,24
130,24,7,196,23
131,23,8,197,22
132,23,8,197,22
133,22,8,198,22
134,22,8,199,21
135,22,7,200,21
136,22,6,201,21
137,22,6,201,21
138,21,6,202,21
139,21,6,202,21
140,21,5,203,21
141,21,5,203,21
142,21,5,203,21
143,21,5,204,20
144,20,5,205,20
145,20,5,206,19
146,20,5,206,19
147,20,4,209,17
148,20,2,212,16
149,20,2,213,15
150,19,2,214,15
151,19,2,215,14
152,19,2,216,13
153,20,2,216,12
154,20,2,216,12
155,20,1,217,12
156,21,0,218,11
157,21,0,218,11
158,21,0,219,10
159,21,0,220,9
160,21,0,220,9
161,21,0,220,9
162,21,0,220,9
163,21,0,220,9
164,21,0,220,9
165,19,0,222,9
166,19,0,222,9
167,19,0,222,9
168,19,0,223,8
169,17,0,226,7
170,17,0,226,7
171,17,0,226,7
172,17,0,226,7
173,17,0,226,7
174,16,0,227,7
175,16,0,227,7
176,15,0,228,7
177,15,0,228,7
178,15,0,228,7
179,15,0,228,7
180,13,0,231,6
181,13,0,231,6
182,12,0,232,6
183,12,0,232,6
184,11,0,233,6
185,11,0,233,6
186,9,0,235,6
187,8,0,236,6
188,7,0,238,5
189,5,0,241,4
190,5,0,241,4
191,5,0,241,4
192,5,0,241,4
193,4,0,243,3
194,3,0,244,3
195,3,0,244,3
196,1,0,247,2
197,1,0,247,2
