tick,blue,yellow,green,uninformed
0,9,3,0,238
1,10,4,0,236
2,13,4,0,233
3,13,4,0,233
4,17,4,0,229
5,21,5,0,224
6,24,5,0,221
7,24,5,0,221
8,27,5,0,218
9,28,5,0,217
10,31,7,0,212
11,33,8,0,209
12,35,9,0,206
13,37,12,0,201
14,41,14,0,195
15,45,14,0,191
16,47,14,0,189
17,51,15,0,184
18,55,17,0,178
19,57,17,1,175
20,58,18,1,173
21,59,21,1,169
22,66,21,2,161
23,67,21,3,159
24,71,21,4,154
25,74,22,4,150
26,77,25,4,144
27,79,27,5,139
28,88,27,6,129
29,89,26,7,128
30,91,29,7,123
31,93,28,10,119
32,94,29,10,117
33,95,29,10,116
34,96,29,10,115
35,100,28,11,111
36,102,27,14,107
37,103,26,16,105
38,104,25,19,102
39,106,23,22,99
40,108,22,25,95
41,110,22,26,92
42,112,21,27,90
43,112,20,29,89
44,114,20,30,86
45,113,20,31,86
46,111,19,35,85
47,112,19,36,83
48,109,18,42,81
49,108,17,45,80
50,109,17,46,78
51,112,17,47,74
52,114,17,47,72
53,113,17,49,71
54,113,16,53,68
55,111,16,59,64
56,113,17,60,60
57,112,17,62,59
58,113,17,63,57
59,113,17,65,55
60,112,17,67,54
61,111,14,71,54
62,111,14,73,52
63,112,13,77,48
64,113,13,77,47
65,114,13,78,45
66,113,13,79,45
67,108,13,84,45
68,108,13,87,42
69,109,13,87,41
70,108,13,89,40
71,108,13,89,40
72,108,13,89,40
73,104,12,94,40
74,106,12,94,38
75,102,12,100,36
76,102,12,101,35
77,97,12,106,35
78,97,11,108,34
79,99,12,108,31
80,100,12,109,29
81,98,12,112,28
82,97,12,113,28
83,96,12,115,27
84,94,11,118,27
85,91,11,121,27
86,89,11,124,26
87,88,10,126,26
88,86,10,128,26
89,86,10,128,26
90,87,9,129,25
91,86,10,130,24
92,86,11,130,23
93,85,11,131,23
94,84,10,133,23
95,81,11,137,21
96,78,10,141,21
97,75,10,145,20
98,75,8,148,19
99,72,8,152,18
100,71,8,154,17
101,67,7,159,17
102,65,7,161,17
103,63,6,166,15
104,60,6,169,15
105,60,6,169,15
106,56,6,175,13
107,56,5,176,13
108,55,5,177,13
109,53,5,181,11
110,52,4,183,11
111,51,4,184,11
112,49,4,186,11
113,47,4,188,11
114,45,4,191,10
115,44,4,192,10
116,44,4,192,10
117,43,3,194,10
118,43,2,195,10
119,42,2,196,10
120,42,2,196,10
121,42,2,196,10
122,42,2,196,10
123,39,2,199,10
124,37,2,202,9
125,36,2,203,9
126,36,2,203,9
127,36,2,203,9
128,36,2,203,9
129,36,2,203,9
130,36,2,204,8
131,36,2,205,7
132,34,2,208,6
133,33,2,209,6
134,32,2,210,6
135,32,2,210,6
136,31,2,211,6
137,30,2,212,6
138,30,2,212,6
139,29,1,214,6
140,26,1,218,5
141,24,1,220,5
142,23,1,221,5
143,22,1,223,4
144,20,1,225,4
145,18,1,227,4
146,17,1,228,4
147,16,1,229,4
148,16,1,229,4
149,15,1,230,4
150,15,1,231,3
151,14,0,233,3
152,13,0,234,3
153,12,0,235,3
154,11,0,236,3
155,10,0,237,3
156,10,0,237,3
157,9,0,239,2
158,9,0,239,2
159,9,0,239,2
160,9,0,240,1
161,9,0,240,1
162,9,0,240,1
163,8,0,241,1
164,8,0,241,1
165,8,0,241,1
166,8,0,241,1
167,8,0,241,1
168,8,0,241,1
169,8,0,241,1
170,8,0,241,1
171,8,0,241,1
172,8,0,241,1
173,7,0,242,1
174,7,0,242,1
175,6,0,243,1
176,5,0,244,1
177,4,0,246,0
178,4,0,246,0
179,4,0,246,0
180,4,0,246,0
181,4,0,246,0
182,4,0,246,0
183,4,0,246,0
184,4,0,246,0
185,4,0,246,0
186,3,0,247,0
187,3,0,247,0
